ID,Parameter,Symbol,Conditions,Min,Typ,Max,Guarantee Level,Export to datasheet,ID,Name,ID,Test Name,Test Number
HZ06-PSPEC2-7,Power Supply Voltage Range,V VBAT,,2.65,,5.5,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1006,"PSRR (PVDD,VBAT)",HZ06-MVPATE-1006,"PSRR (PVDD,VBAT)",7055
HZ06-PSPEC2-8,Power Supply Voltage Range,V DVDD,,1.71,,1.89,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1006,"PSRR (PVDD,VBAT)",HZ06-MVPATE-1006,"PSRR (PVDD,VBAT)",7055
HZ06-PSPEC2-9,VBAT Undervoltage Lockout (UVLO),V VBAT-UVLO,V VBAT  falling,1.76,,2.07,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",No,HZ06-MVPHUB-962,UV_VBAT_POR_FALL,HZ06-MVPATE-962,UV_VBAT_POR_FALL,1885
HZ06-PSPEC2-10,VBAT Undervoltage Lockout (UVLO),V VBAT-UVLO,V VBAT  rising,1.94,,2.18,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",No,HZ06-MVPHUB-963,UV_VBAT_POR_RISE,HZ06-MVPATE-963,UV_VBAT_POR_RISE,1890
HZ06-PSPEC2-11,VBAT Undervoltage Lockout (UVLO) Hysteresis,,,,111,,"VII - Production Tested, Internal Only",No,HZ06-MVPHUB-964,UV_VBAT_POR_HYS,HZ06-MVPATE-964,UV_VBAT_POR_HYS,1895
HZ06-PSPEC2-12,DVDD Undervoltage Lockout (UVLO),V DVDD-UVLO,V DVDD  falling,1,1.2,1.31,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",No,HZ06-MVPHUB-956,UV_DVDD_FALL,HZ06-MVPATE-956,UV_DVDD_FALL,1845
HZ06-PSPEC2-13,DVDD Undervoltage Lockout (UVLO),V DVDD-UVLO,V DVDD  rising,1.07,1.27,1.38,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",No,HZ06-MVPHUB-957,UV_DVDD_RISE,HZ06-MVPATE-957,UV_DVDD_RISE,1850
HZ06-PSPEC2-14,DVDD Undervoltage Lockout (UVLO) Hysteresis,,,,70,,"VII - Production Tested, Internal Only",No,HZ06-MVPHUB-958,UV_DVDD_HYS,HZ06-MVPATE-958,UV_DVDD_HYS,1855
HZ06-PSPEC2-346,Power Supply Ramp Rate VBAT,,,0.1,,10000,VI - Internal Design Target,No,,,,,
HZ06-PSPEC2-347,Power Supply Ramp Rate DVDD,,,0.1,,10000,VI - Internal Design Target,No,,,,,
