Test #,Test Name,Test Type,Temp,Unit,Mean,Median,Standard Deviation,Min,Max,,Default Scales?,Process Dependent,Scale (Down),Offset (Down),Scale (Up),Offset (Up),N Sigma (Down),N Sigma (Up),GBD No Scale Min,GBD No Scale Max,GBD Min,GBD Max,EC/QA Low Limit (from tester),EC/QA High Limit (from tester),EC/QA Low Limit (Override),EC/QA High Limit (Override),EC / QA Min (Input),EC / QA Max (Input),GB Type,Tester Accuracy,HW Component Accuracy,T2T Gage or Combined Gage Sigma,B2B Gage Sigma,Correlation Target,Correlation Delta Min,Correlation Delta Max,Insertion Repeatability,Supply Mean Shift,Correlation Components Required?,Calculation Blank?,GB Test Type?,Limits Method,Temperature Components Required?,Means of Temperatures tested,Temperature Mean Shift (Min),Temperature Mean Shift (Max),NegDrift,PosDrift,Temperature Sigma Drift,Temperature Sigma Drift,Temperature Sigma Shift (Min),Temperature Sigma Shift (Max),Calculated Gage Components,Valid NegDrift,Valid PosDrift,EC Shift (Min),EC Shift (Max),Uncertainty GB (Min),Uncertainty GB (Max),Default Guardband (Min),Default Guardband (Max),Calculated Guardband (Min),Calculated Guardband (Max),Override Guardband (Min),Override Guardband (Max),Applied Guardband (Min),Applied Guardband (Max),Calc EC?,EC / QA Min (Output),EC / QA Max (Output),FT Min,FT Max,(For Calc Only) SPF (Min),(For Calc Only) SPF (Max),(For Calc Only) FT SPF (Min),(For Calc Only) FT SPF (Min),"QA
GBD
Flag",Population Sigmas Passed,Drift Sigmas Passed,Passed GBD by Method,QA CPK,FT CPK,FT CP Low,FT CP High,Yield Loss,,,Data Sheet Parameter,Notes,,Sigma T Max,Sigma T SPF Max,Sigma T,86,85,25,-40,-41,,Neg Mean Drift,Pos Mean Drift,Drift Temp,86,85,25,-40,-41
0,Limits_Columns_Enabled  -1 <> Limits_Columns_Enabled,PROD - EC,86,,47.5,47.5,0,47.5,47.5,,TRUE,FALSE,1,0,1,0,6,6,47.5,47.5,47.5,47.5,47,48,47,48,47,48,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5.00E-02,5.00E-02,,,,,5.00E-02,5.00E-02,Use Input EC,47,48,47.05,47.95,,,,,F,n/a,,,n/a,n/a,,,n/a,,,,,,0,0,86,0,0,0,0,0,,,,86,0,0,3,0,0
0,Limits_Columns_Enabled  -1 <> Limits_Columns_Enabled,PROD - EC,85,,47.5,47.5,0,47.5,47.5,,TRUE,FALSE,1,0,1,0,6,6,47.5,47.5,47.5,47.5,47,48,47,48,47,48,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5.00E-02,5.00E-02,,,,,5.00E-02,5.00E-02,Use Input EC,47,48,47.05,47.95,,,,,F,n/a,,,n/a,n/a,,,n/a,,,,,,0,0,85,0,0,0,0,0,,,,85,0,0,3,0,0
0,Limits_Columns_Enabled  -1 <> Limits_Columns_Enabled,PROD - EC,25,,44.5,44.5,0,44.5,44.5,,TRUE,FALSE,1,0,1,0,6,6,44.5,44.5,44.5,44.5,44,45,44,45,44,45,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,44.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5.00E-02,5.00E-02,,,,,5.00E-02,5.00E-02,Use Input EC,44,45,44.05,44.95,,,,,F,n/a,,,n/a,n/a,,,n/a,,,,,,0,0,25,0,0,0,0,0,,,,25,-3,-3,0,-3,-3
0,Limits_Columns_Enabled  -1 <> Limits_Columns_Enabled,PROD - EC,-40,,47.5,47.5,0,47.5,47.5,,TRUE,FALSE,1,0,1,0,6,6,47.5,47.5,47.5,47.5,47,48,47,48,47,48,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5.00E-02,5.00E-02,,,,,5.00E-02,5.00E-02,Use Input EC,47,48,47.05,47.95,,,,,F,n/a,,,n/a,n/a,,,n/a,,,,,,0,0,-40,0,0,0,0,0,,,,-40,0,0,3,0,0
0,Limits_Columns_Enabled  -1 <> Limits_Columns_Enabled,PROD - EC,-41,,47.5,47.5,0,47.5,47.5,,TRUE,FALSE,1,0,1,0,6,6,47.5,47.5,47.5,47.5,47,48,47,48,47,48,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5.00E-02,5.00E-02,,,,,5.00E-02,5.00E-02,Use Input EC,47,48,47.05,47.95,,,,,F,n/a,,,n/a,n/a,,,n/a,,,,,,0,0,-41,0,0,0,0,0,,,,-41,0,0,3,0,0
1,X_Coordinate  -1 <> X_Coordinate,PROD - EC,86,,-36.36139,-36,29.84609,-96,26,,TRUE,FALSE,1,0,1,0,6,6,-215.4379,142.7152,-215.4379,142.7152,,,,,none,none,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,-36.36139,0,0,0,0,0,0,0,0,0, , ,0,0,,,none,none,,,,,none,none,Use Input EC,none,none,none,none,,,,,F,n/a,,FAIL,n/a,n/a,,,n/a,,,,,,0,0,86,0,0,0,0,0,,,,86,0,9.18E-02,9.18E-02,9.18E-02,9.18E-02
1,X_Coordinate  -1 <> X_Coordinate,PROD - EC,85,,-36.4532,-36,29.80085,-96,26,,TRUE,FALSE,1,0,1,0,6,6,-215.2583,142.3519,-215.2583,142.3519,,,,,none,none,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,-36.4532,0,0,0,0,0,0,0,0,0, , ,0,0,,,none,none,,,,,none,none,Use Input EC,none,none,none,none,,,,,F,n/a,,FAIL,n/a,n/a,,,n/a,,,,,,0,0,85,0,0,0,0,0,,,,85,-9.18E-02,0,0,0,0
1,X_Coordinate  -1 <> X_Coordinate,PROD - EC,25,,-36.4532,-36,29.80085,-96,26,,TRUE,FALSE,1,0,1,0,6,6,-215.2583,142.3519,-215.2583,142.3519,,,,,none,none,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,-36.4532,0,0,0,0,0,0,0,0,0, , ,0,0,,,none,none,,,,,none,none,Use Input EC,none,none,none,none,,,,,F,n/a,,FAIL,n/a,n/a,,,n/a,,,,,,0,0,25,0,0,0,0,0,,,,25,-9.18E-02,0,0,0,0
1,X_Coordinate  -1 <> X_Coordinate,PROD - EC,-40,,-36.4532,-36,29.80085,-96,26,,TRUE,FALSE,1,0,1,0,6,6,-215.2583,142.3519,-215.2583,142.3519,,,,,none,none,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,-36.4532,0,0,0,0,0,0,0,0,0, , ,0,0,,,none,none,,,,,none,none,Use Input EC,none,none,none,none,,,,,F,n/a,,FAIL,n/a,n/a,,,n/a,,,,,,0,0,-40,0,0,0,0,0,,,,-40,-9.18E-02,0,0,0,0
1,X_Coordinate  -1 <> X_Coordinate,PROD - EC,-41,,-36.4532,-36,29.80085,-96,26,,TRUE,FALSE,1,0,1,0,6,6,-215.2583,142.3519,-215.2583,142.3519,,,,,none,none,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,-36.4532,0,0,0,0,0,0,0,0,0, , ,0,0,,,none,none,,,,,none,none,Use Input EC,none,none,none,none,,,,,F,n/a,,FAIL,n/a,n/a,,,n/a,,,,,,0,0,-41,0,0,0,0,0,,,,-41,-9.18E-02,0,0,0,0
