ID,Parameter,Symbol,Conditions,Min,Typ,Max,Guarantee Level,Export to datasheet,ID,Name,ID,Test Name,Test Number,Test #,Test Name,Test Type,Temp,Unit,Mean,Median,Standard Deviation,Min,Max,Unnamed: 10,Default Scales?,Process Dependent,Scale (Down),Offset (Down),Scale (Up),Offset (Up),N Sigma (Down),N Sigma (Up),GBD No Scale Min,GBD No Scale Max,GBD Min,GBD Max,EC/QA Low Limit (from tester),EC/QA High Limit (from tester),EC/QA Low Limit (Override),EC/QA High Limit (Override),EC / QA Min (Input),EC / QA Max (Input),GB Type,Tester Accuracy,HW Component Accuracy,T2T Gage or Combined Gage Sigma,B2B Gage Sigma,Correlation Target,Correlation Delta Min,Correlation Delta Max,Insertion Repeatability,Supply Mean Shift,Correlation Components Required?,Calculation Blank?,GB Test Type?,Limits Method,Temperature Components Required?,Means of Temperatures tested,Temperature Mean Shift (Min),Temperature Mean Shift (Max),NegDrift,PosDrift,Temperature Sigma Drift,Temperature Sigma Drift.1,Temperature Sigma Shift (Min),Temperature Sigma Shift (Max),Calculated Gage Components,Valid NegDrift,Valid PosDrift,EC Shift (Min),EC Shift (Max),Uncertainty GB (Min),Uncertainty GB (Max),Default Guardband (Min),Default Guardband (Max),Calculated Guardband (Min),Calculated Guardband (Max),Override Guardband (Min),Override Guardband (Max),Applied Guardband (Min),Applied Guardband (Max),Calc EC?,EC / QA Min (Output),EC / QA Max (Output),FT Min,FT Max,(For Calc Only) SPF (Min),(For Calc Only) SPF (Max),(For Calc Only) FT SPF (Min),(For Calc Only) FT SPF (Min).1,"QA
GBD
Flag",Population Sigmas Passed,Drift Sigmas Passed,Passed GBD by Method,QA CPK,FT CPK,FT CP Low,FT CP High,Yield Loss,Unnamed: 86,Unnamed: 87,Data Sheet Parameter,Notes,Unnamed: 90,Sigma T Max,Sigma T SPF Max,Sigma T,86,85,25,-40,-41,Unnamed: 99,Neg Mean Drift,Pos Mean Drift,Drift Temp,86.1,85.1,25.1,-40.1,-41.1
HZ06-PSPEC2-7,Power Supply Voltage Range,V VBAT,,2.65,,5.5,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1006,"PSRR (PVDD,VBAT)",HZ06-MVPATE-1006,"PSRR (PVDD,VBAT)",7055,PSRR(dB)  -1 <> PSRR(dB),dB,68.88384,9.246097,8.61E-01,PSRR(dB)  -1 <> PSRR(dB),dB,69.05174,8.380085000000001,9.57E-01,PSRR(dB)  -1 <> PSRR(dB),dB,69.39577,8.314662,9.78E-01
HZ06-PSPEC2-8,Power Supply Voltage Range,V DVDD,,1.71,,1.89,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1006,"PSRR (PVDD,VBAT)",HZ06-MVPATE-1006,"PSRR (PVDD,VBAT)",7055,PSRR(dB)  -1 <> PSRR(dB),dB,68.88384,9.246097,8.61E-01,PSRR(dB)  -1 <> PSRR(dB),dB,69.05174,8.380085000000001,9.57E-01,PSRR(dB)  -1 <> PSRR(dB),dB,69.39577,8.314662,9.78E-01
HZ06-PSPEC2-9,VBAT Undervoltage Lockout (UVLO),V VBAT-UVLO,V VBAT  falling,1.76,,2.07,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",No,HZ06-MVPHUB-962,UV_VBAT_POR_FALL,HZ06-MVPATE-962,UV_VBAT_POR_FALL,1885,UV_VBAT_fall VBAT_F -1 <> UV_VBAT_fall,0,1.937527,0.0053,8.151,UV_VBAT_fall VBAT_F -1 <> UV_VBAT_fall,0,1.9193419999999999,0.00472,10.351,UV_VBAT_fall VBAT_F -1 <> UV_VBAT_fall,0,1.9566720000000002,0.00615,6.039
HZ06-PSPEC2-10,VBAT Undervoltage Lockout (UVLO),V VBAT-UVLO,V VBAT  rising,1.94,,2.18,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",No,HZ06-MVPHUB-963,UV_VBAT_POR_RISE,HZ06-MVPATE-963,UV_VBAT_POR_RISE,1890,UV_VBAT_rise VBAT_R -1 <> UV_VBAT_rise,0,2.050074,0.00527,6.684,UV_VBAT_rise VBAT_R -1 <> UV_VBAT_rise,0,2.049877,0.00488,7.183,UV_VBAT_rise VBAT_R -1 <> UV_VBAT_rise,0,2.050345,0.0061,5.815
HZ06-PSPEC2-11,VBAT Undervoltage Lockout (UVLO) Hysteresis,,,,111,,"VII - Production Tested, Internal Only",No,HZ06-MVPHUB-964,UV_VBAT_POR_HYS,HZ06-MVPATE-964,UV_VBAT_POR_HYS,1895,UV_VBAT_Hys VBAT_H -1 <> UV_VBAT_Hys,m,112.5468,1.548402,18.827,UV_VBAT_Hys VBAT_H -1 <> UV_VBAT_Hys,m,130.5345,1.2911700000000002,17.933,UV_VBAT_Hys VBAT_H -1 <> UV_VBAT_Hys,m,93.67241,1.7813189999999999,19.897
HZ06-PSPEC2-12,DVDD Undervoltage Lockout (UVLO),V DVDD-UVLO,V DVDD  falling,1,1.2,1.31,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",No,HZ06-MVPHUB-956,UV_DVDD_FALL,HZ06-MVPATE-956,UV_DVDD_FALL,1845,UV_DVDD_fall  -1 <> UV_DVDD_fall,0,1.132315,0.0192,2.116,UV_DVDD_fall  -1 <> UV_DVDD_fall,0,1.111847,0.0144,2.337,UV_DVDD_fall  -1 <> UV_DVDD_fall,0,1.158547,0.0204,2.408
HZ06-PSPEC2-13,DVDD Undervoltage Lockout (UVLO),V DVDD-UVLO,V DVDD  rising,1.07,1.27,1.38,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",No,HZ06-MVPHUB-957,UV_DVDD_RISE,HZ06-MVPATE-957,UV_DVDD_RISE,1850,UV_DVDD_rise  -1 <> UV_DVDD_rise,0,1.250493,0.0209,2.063,UV_DVDD_rise  -1 <> UV_DVDD_rise,0,1.244908,0.0155,2.896,UV_DVDD_rise  -1 <> UV_DVDD_rise,0,1.2747540000000002,0.018,1.952
HZ06-PSPEC2-14,DVDD Undervoltage Lockout (UVLO) Hysteresis,,,,70,,"VII - Production Tested, Internal Only",No,HZ06-MVPHUB-958,UV_DVDD_HYS,HZ06-MVPATE-958,UV_DVDD_HYS,1855,UV_DVDD_Hys  -1 <> UV_DVDD_Hys,m,118.1773,2.8801240000000004,12.562,UV_DVDD_Hys  -1 <> UV_DVDD_Hys,m,108.4483,43.44601,7.55E-01,UV_DVDD_Hys  -1 <> UV_DVDD_Hys,m,116.2069,4.8386379999999996,7.331
HZ06-PSPEC2-346,Power Supply Ramp Rate VBAT,,,0.1,,10000,VI - Internal Design Target,No,,,,,
